|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                       Имя кораблика|                                       Тип кораблика|        x|        y|        z|Водоизмещение|Скорость|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                              Aurora|                                             Unknown|        7|        7|        7|           10|       7|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                               Oryol|                                             Unknown|       13|       -5|       10|           30|      20|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                       Apostol Piotr|                                             Galliot|        6|       60|        5|         6000|      70|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                       Sviatoi Pavel|                                             Galliot|      -66|        9|        4|         1000|      41|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                         Mirotvorest|                                                Bark|        4|       -5|       10|         4001|      17|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                               Veter|                                                Bark|       -1|       -1|        5|          500|      30|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                            Gerkules|                                            Rowbarge|        7|        0|       56|         5000|      40|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                          Tri Ruimki|                                            Rowbarge|        0|        5|       42|           54|      40|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                                 Ddd|                                             Pinnace|       34|       45|      456|           45|      45|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                                 Fff|                                             Pinnace|       34|       34|      345|          455|      34|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                              Aurora|                                             Unknown|        7|        7|        7|           10|       7|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                               Oryol|                                             Unknown|       13|       -5|       10|           30|      20|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                       Apostol Piotr|                                             Galliot|        6|       60|        5|         6000|      70|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                       Sviatoi Pavel|                                             Galliot|      -66|        9|        4|         1000|      41|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                         Mirotvorest|                                                Bark|        4|       -5|       10|         4001|      17|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                               Veter|                                                Bark|       -1|       -1|        5|          500|      30|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                            Gerkules|                                            Rowbarge|        7|        0|       56|         5000|      40|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
|                                          Tri Ruimki|                                            Rowbarge|        0|        5|       42|           54|      40|
|----------------------------------------------------|----------------------------------------------------|---------|---------|---------|-------------|--------|
